tree	status	source	sha256_preserved_block	sha256_file	path	title
Decisions	active	DECISIONS.md	d6d00cabc8909ce66fb267d226a28c1c8e639ddca63078048b41c1a6028b7362	de47d247a3e7f39fcc066046fc5cd9459be66efb8019e2a0b80a6b856a1f1f43	Companion/Decisions/Active/adr-013-timezone-aware-timestamp-tools.md	ADR-013: Tools That Accept Timestamps Must Be Timezone-Aware
Decisions	active	DECISIONS.md	7a2169856cc38278b80885e3668cba7b4aaeee2f3759361c4ed0fe055f949a63	fd3957afcb9285b06ecdd0dd3684734a10bacfba4c48d79090435c010ff8005b	Companion/Decisions/Active/adr-015-deterministic-proactive-reachout.md	ADR-015: Deterministic Proactive Reachout (Replace Headless LLM)
Decisions	active	DECISIONS.md	267ec5764ec680ba716ae6cebc401e187342be63b3fe6b43c628de9b410131af	ebddcd8ef83817917c9e18faf75dd14021df7ad2a632cdff80e01f281cc33c63	Companion/Decisions/Active/adr-016-ios-canonical-tag-teach-kb-refinement.md	ADR-016: iOS Is Canonical for Tag-Teach and KB-Refinement Flows
Decisions	active	DECISIONS.md	e8ce05d72b7e970203e50d9d7fe66f42f2690d6bfda578bc8effe7f4794e680f	5998a7d62f97b7695a44e35206c84b4c76754fcdbf411d0d6586b43a61688334	Companion/Decisions/Active/adr-014-header-chip-passive-painter.md	ADR-014: Header Chip Is a Passive Painter; Click Targets the Chip's Own Message
Decisions	active	DECISIONS.md	82ada36ffdb8f0e3e01b5fead95901f42415599b883cb9c1f11b4938e75df7c1	d53bc18fdb8d11a165562b2568e1c2e45ad3ff7fc2422bc3ceff3b0333d694e2	Companion/Decisions/Active/adr-015b-multi-message-view-chip.md	ADR-015 (second definition): Multi-Message-View Chip Is a Sibling Experiment, Not Bundled into ADR-014
Decisions	active	DECISIONS.md	0659c1a99b8ea826800ca5570f6c212d0fb320d5b8da902512c5c8c4d9b7fbbc	68bc518dc81f0675c1de65f85aa5a24d16358e1803d66ccce300955b83cd7b85	Companion/Decisions/Active/adr-016b-reconcile-window-persistent-watermark.md	ADR-016 (second definition): Reconcile Window Bounded by Persistent Watermark, Not FTS-Newest Date
Decisions	active	DECISIONS.md	af839580ff0e6fdb3b9eead2d8d5548ea10c9a3c01d760c63375b1ae537d304f	6f0ebd56ab1693d57b6b37b1c0168962c994623a192bd46327e35b0efcfcbdd6	Companion/Decisions/Active/adr-017-fts-verify-then-remove-and-deferred-startup-tick.md	ADR-017: FTS Stale-Entry Removal Requires Verify-Then-Remove; Startup Maintenance Tick Deferred Behind Sync Quiet Period
Decisions	active	DECISIONS.md	b54b638679f6c12bd78a2f7a46075d7a9b130cfa80e9b3c431212bb69a1c85c8	de85e3b6a62da3482fd9c9d2b0dcd82b9c6247e78997901f08d211490b0870af	Companion/Decisions/Active/adr-018-body-extraction-html-first.md	ADR-018: Body Extraction for FTS/Snippets Is HTML-First with an HTML-Document Guard on the text/plain Fallback
Decisions	active	DECISIONS.md	7579dd687f6bf94d16a4c84ca3b146f59543882c509814c769580cae68118be5	dbd314e48a8d5fab3fc49ddb08fd0cf4f0307a8d6614a7409a34a455e61b2dbc	Companion/Decisions/Active/adr-license-mpl-2.0-relicense.md	ADR-LICENSE: Relicensed to MPL 2.0 (PolyForm Noncommercial → MPL 2.0)
Decisions	active	DECISIONS.md	5c0ea5fe31eccd585795c8bde14d5946d18dd318e8a6c72311300ed410591117	298d75566abad872bfd20f9b641c7916dede36e4cc1952d03f3d9f68fad1a341	Companion/Decisions/Active/adr-019-popup-billing-usage-nudge.md	ADR-019: Popup Billing/Usage Nudge — Tier-Branched, Driven by Cached /whoami (TB port of ADR-IOS-044)
Decisions	active	DECISIONS.md	4b9292b938ddd60073a071cae60d315e71c1ac3150e23a6fd67df2899222c702	b0bb4a8dff2972f61d4de6b948765549d10d729e6aa85f01be54fa7b1d16319f	Companion/Decisions/Active/adr-020-add-side-reconcile-per-folder-cursors.md	ADR-020: Add-Side Reconcile Keyed on Per-Folder msgKey/UID Cursors, Not Date Windows
Decisions	active	DECISIONS.md	fa455be27b252d77235e2500e9c183c3cf612267bdbfd4ccbd2d6a06d264d1ea	5ff90bb54d8275ed3a165725067331d49c70f76f6da8e37ffb7fc131611301b4	Companion/Decisions/Active/adr-021-remove-side-reconcile-count-invariant.md	ADR-021: Remove-Side Reconcile via Evidence-Triggered Per-Folder Count Invariant (No Date Windows, No Periodic Jobs)
Decisions	active	DECISIONS.md	-	77298c0ce3de59f4e74031e30c7b0417feab687721497c17aa70a70e9e9a5911	Companion/Decisions/Active/adr-022-startup-uid-fts-membership-fingerprints.md	ADR-022: Startup UID/FTS Membership Fingerprints Replace Count Inference and Automatic Scans
Decisions	active	DECISIONS.md	-	51d8ec4520522dc3016e6a4f0a2292cb7702900efba380093f82bb7c33f8b0e5	Companion/Decisions/Active/adr-023-native-fts-routine-signing-key-cutover.md	ADR-023: Native FTS Routine Signing-Key Cutover Uses a Timed Bridge and Reinstall Fallback
